system:index,elevacion,etiqueta,fecha,ndvi,pendiente,riesgo,temperatura,.geo
1_2020_09_01_+18336+7962,647.0,1,2020-03-01,6771.0,8.0,-1278.392,14746.0,"{""type"":""Point"",""coordinates"":[-117.9367313089321,34.19579891434729]}"
1_2020_09_01_+18338+7950,991.0,1,2020-03-01,6805.0,18.0,-1246.6480000000001,14889.0,"{""type"":""Point"",""coordinates"":[-118.00471976282861,34.252755885190425]}"
1_2020_09_01_+18339+7948,1038.0,1,2020-03-01,6491.0,31.0,-1175.248,14889.0,"{""type"":""Point"",""coordinates"":[-118.00859563803938,34.25875135580549]}"
1_2020_09_01_+18339+7950,1054.0,1,2020-03-01,6731.0,6.0,-1229.8039999999999,14807.0,"{""type"":""Point"",""coordinates"":[-117.99598260488214,34.24975814988289]}"
1_2020_09_01_+18339+7953,778.0,1,2020-03-01,7355.0,6.0,-1382.7,14745.0,"{""type"":""Point"",""coordinates"":[-117.98022419145904,34.23851664247964]}"
1_2020_09_01_+18339+7961,748.0,1,2020-03-01,6367.0,7.0,-1187.536,14778.0,"{""type"":""Point"",""coordinates"":[-117.92671099979,34.2002955173086]}"
1_2020_09_01_+18340+7946,1452.0,1,2020-03-01,6225.0,27.0,-1082.096,14858.0,"{""type"":""Point"",""coordinates"":[-118.01849372954587,34.26774456172809]}"
1_2020_09_01_+18341+7949,1295.0,1,2020-03-01,6302.0,27.0,-1113.0600000000002,14875.0,"{""type"":""Point"",""coordinates"":[-117.99875225283989,34.26561459190431]}"
1_2020_09_01_+18341+7952,698.0,1,2020-03-01,4520.0,20.0,-819.4920000000001,14746.0,"{""type"":""Point"",""coordinates"":[-117.97249647736163,34.240764943960286]}"
1_2020_09_01_+18341+7959,1084.0,1,2020-03-01,7153.0,27.0,-1305.192,14771.0,"{""type"":""Point"",""coordinates"":[-117.94311232173816,34.21507006989573]}"
1_2020_09_01_+18342+7951,765.0,1,2020-03-01,4460.0,35.0,-795.02,14905.0,"{""type"":""Point"",""coordinates"":[-117.97335927250691,34.245261546921576]}"
1_2020_09_01_+18342+7952,803.0,1,2020-03-01,6688.0,27.0,-1240.66,14725.0,"{""type"":""Point"",""coordinates"":[-117.9670571290043,34.240764943960286]}"
1_2020_09_01_+18342+7957,775.0,1,2020-03-01,7493.0,37.0,-1401.38,14735.0,"{""type"":""Point"",""coordinates"":[-117.94079989162064,34.23755308470223]}"
1_2020_09_01_+18343+7944,1517.0,1,2020-03-01,6085.0,22.0,-1050.168,14724.0,"{""type"":""Point"",""coordinates"":[-118.0120718216739,34.27673776765068]}"
1_2020_09_01_+18343+7948,1060.0,1,2020-03-01,5931.0,28.0,-1062.1,14870.0,"{""type"":""Point"",""coordinates"":[-117.98683359368725,34.25875135580549]}"
1_2020_09_01_+18343+7956,1370.0,1,2020-03-01,6978.0,24.0,-1243.892,14596.0,"{""type"":""Point"",""coordinates"":[-117.93642436321635,34.22277853211509]}"
1_2020_09_01_+18345+7944,1431.0,1,2020-03-01,5874.0,16.0,-1018.936,14653.0,"{""type"":""Point"",""coordinates"":[-118.00839903547111,34.28235852135231]}"
1_2020_09_01_+18345+7949,1029.0,1,2020-03-01,6527.0,32.0,-1183.048,14889.0,"{""type"":""Point"",""coordinates"":[-117.97051206042319,34.25875135580549]}"
1_2020_09_01_+18345+7955,691.0,1,2020-03-01,7055.0,26.0,-1325.48,14735.0,"{""type"":""Point"",""coordinates"":[-117.94717210049029,34.24180262156675]}"
1_2020_09_01_+18346+7944,1499.0,1,2020-03-01,6393.0,22.0,-1112.928,14804.0,"{""type"":""Point"",""coordinates"":[-117.99574679711706,34.27673776765068]}"
1_2020_09_01_+18347+7942,1647.0,1,2020-03-01,5575.0,11.0,-938.212,14756.0,"{""type"":""Point"",""coordinates"":[-118.0098617804468,34.29595052575805]}"
1_2020_09_01_+18347+7955,1073.0,1,2020-03-01,8025.0,34.0,-1479.856,14613.0,"{""type"":""Point"",""coordinates"":[-117.92368594958722,34.227275135076376]}"
1_2020_09_01_+18348+7947,1048.0,1,2020-03-01,6679.0,39.0,-1209.6560000000002,14863.0,"{""type"":""Point"",""coordinates"":[-117.96593703886603,34.26324795876678]}"
1_2020_09_01_+18348+7955,1302.0,1,2020-03-01,7354.0,13.0,-1329.056,14613.0,"{""type"":""Point"",""coordinates"":[-117.9155282341066,34.22727513507638]}"
1_2020_09_01_+18349+7946,1087.0,1,2020-03-01,5973.0,24.0,-1069.056,14863.0,"{""type"":""Point"",""coordinates"":[-117.96680334755737,34.267744561728094]}"
1_2020_09_01_+18349+7955,1249.0,1,2020-03-01,7797.0,28.0,-1418.456,14613.0,"{""type"":""Point"",""coordinates"":[-117.91008975711951,34.22727513507638]}"
1_2020_09_01_+18350+7948,1104.0,1,2020-03-01,6269.0,27.0,-1125.728,14854.0,"{""type"":""Point"",""coordinates"":[-117.94237415410323,34.26662041098775]}"
1_2020_09_01_+18350+7955,640.0,1,2020-03-01,6361.0,8.0,-1196.476,14823.0,"{""type"":""Point"",""coordinates"":[-117.9128156213075,34.250833424504066]}"
1_2020_09_01_+18351+7945,1357.0,1,2020-03-01,5604.0,31.0,-966.3799999999999,14835.0,"{""type"":""Point"",""coordinates"":[-117.96222909170346,34.27224116468938]}"
1_2020_09_01_+18351+7955,1135.0,1,2020-03-01,6883.0,28.0,-1246.576,14673.0,"{""type"":""Point"",""coordinates"":[-117.8992128031453,34.22727513507639]}"
1_2020_09_01_+18352+7945,1287.0,1,2020-03-01,4795.0,34.0,-811.2399999999999,14765.0,"{""type"":""Point"",""coordinates"":[-117.95678770788916,34.27224116468938]}"
1_2020_09_01_+18352+7954,928.0,1,2020-03-01,7651.0,33.0,-1419.296,14683.0,"{""type"":""Point"",""coordinates"":[-117.900069367274,34.231771738037686]}"
1_2020_09_01_+18352+7955,1054.0,1,2020-03-01,7236.0,35.0,-1323.096,14683.0,"{""type"":""Point"",""coordinates"":[-117.89377432615821,34.22727513507638]}"
1_2020_09_01_+18352+7960,617.0,1,2020-03-01,6629.0,21.0,-1248.2520000000002,14851.0,"{""type"":""Point"",""coordinates"":[-117.87641059253576,34.21357120224196]}"
1_2020_09_01_+18353+7954,824.0,1,2020-03-01,7473.0,28.0,-1395.596,14683.0,"{""type"":""Point"",""coordinates"":[-117.89463059989468,34.23177173803769]}"
1_2020_09_01_+18354+7944,1416.0,1,2020-03-01,4282.0,31.0,-696.168,14824.0,"{""type"":""Point"",""coordinates"":[-117.9522133982989,34.27673776765068]}"
1_2020_09_01_+18354+7945,1237.0,1,2020-03-01,5697.0,39.0,-994.6680000000001,14824.0,"{""type"":""Point"",""coordinates"":[-117.94862563216779,34.27224116468938]}"
1_2020_09_01_+18354+7948,1130.0,1,2020-03-01,6109.0,29.0,-1091.3519999999999,14751.0,"{""type"":""Point"",""coordinates"":[-117.93090277065137,34.26025022345925]}"
1_2020_09_01_+18354+7952,685.0,1,2020-03-01,7303.0,29.0,-1375.0120000000002,14706.0,"{""type"":""Point"",""coordinates"":[-117.90994397125213,34.240764943960286]}"
1_2020_09_01_+18354+7954,752.0,1,2020-03-01,7281.0,10.0,-1369.492,14721.0,"{""type"":""Point"",""coordinates"":[-117.88962013076693,34.234020039518334]}"
1_2020_09_01_+18355+7944,1417.0,1,2020-03-01,3822.0,30.0,-604.368,14824.0,"{""type"":""Point"",""coordinates"":[-117.9467717234466,34.27673776765068]}"
1_2020_09_01_+18355+7954,792.0,1,2020-03-01,7077.0,25.0,-1320.416,14693.0,"{""type"":""Point"",""coordinates"":[-117.88375306513603,34.23177173803769]}"
1_2020_09_01_+18355+7958,835.0,1,2020-03-01,6962.0,22.0,-1294.0320000000002,14691.0,"{""type"":""Point"",""coordinates"":[-117.86845566948179,34.22502683359575]}"
1_2020_09_01_+18356+7943,1420.0,1,2020-03-01,4923.0,24.0,-826.684,14747.0,"{""type"":""Point"",""coordinates"":[-117.94763932586024,34.28123437061198]}"
1_2020_09_01_+18356+7952,525.0,1,2020-03-01,5916.0,14.0,-1117.824,14742.0,"{""type"":""Point"",""coordinates"":[-117.89090625200141,34.240764943960286]}"
1_2020_09_01_+18356+7953,612.0,1,2020-03-01,6487.0,20.0,-1221.5240000000001,14742.0,"{""type"":""Point"",""coordinates"":[-117.88460957558668,34.236268340999]}"
1_2020_09_01_+18357+7952,539.0,1,2020-03-01,6296.0,17.0,-1191.524,14742.0,"{""type"":""Point"",""coordinates"":[-117.88546690364406,34.240764943960286]}"
1_2020_09_01_+18359+7941,1590.0,1,2020-03-01,6576.0,37.0,-1136.624,14717.0,"{""type"":""Point"",""coordinates"":[-117.94393444045097,34.290227576534576]}"
1_2020_09_01_+18359+7942,1425.0,1,2020-03-01,6570.0,20.0,-1156.808,14744.0,"{""type"":""Point"",""coordinates"":[-117.9376232333657,34.28573097357328]}"
1_2020_09_01_+18359+7946,1029.0,1,2020-03-01,5455.0,41.0,-966.34,14840.0,"{""type"":""Point"",""coordinates"":[-117.91239241914842,34.26774456172809]}"
1_2020_09_01_+18359+7948,823.0,1,2020-03-01,6312.0,32.0,-1160.768,14874.0,"{""type"":""Point"",""coordinates"":[-117.89682863134048,34.26224871366427]}"
1_2020_09_01_+18359+7951,649.0,1,2020-03-01,5524.0,25.0,-1022.532,14891.0,"{""type"":""Point"",""coordinates"":[-117.88088541047308,34.245261546921576]}"
1_2020_09_01_+18360+7848,1264.0,1,2020-03-01,5364.0,20.0,-933.7799999999999,14485.0,"{""type"":""Point"",""coordinates"":[-118.53157592209232,34.70841165193537]}"
1_2020_09_01_+18360+7941,1511.0,1,2020-03-01,6039.0,28.0,-1039.784,14722.0,"{""type"":""Point"",""coordinates"":[-117.94164787573679,34.29247587801523]}"
1_2020_09_01_+18360+7951,616.0,1,2020-03-01,6862.0,19.0,-1295.2320000000002,14891.0,"{""type"":""Point"",""coordinates"":[-117.88931530436057,34.24825928222912]}"
1_2020_09_01_+18360+7953,772.0,1,2020-03-01,7200.0,32.0,-1344.524,14742.0,"{""type"":""Point"",""coordinates"":[-117.87311042563842,34.23776720865276]}"
1_2020_09_01_+18363+7944,1413.0,1,2020-03-01,5840.0,30.0,-1009.088,14734.0,"{""type"":""Point"",""coordinates"":[-117.91584072204478,34.291662662586056]}"
1_2020_09_01_+18363+7949,917.0,1,2020-03-01,6004.0,29.0,-1090.5159999999998,14893.0,"{""type"":""Point"",""coordinates"":[-117.87061986472621,34.260678471360336]}"
1_2020_09_01_+18364+7949,725.0,1,2020-03-01,5895.0,18.0,-1090.816,14943.0,"{""type"":""Point"",""coordinates"":[-117.86671252929773,34.25650305432484]}"
1_2020_09_01_+18365+7937,1888.0,1,2020-03-01,5247.0,57.0,-837.0640000000001,14462.0,"{""type"":""Point"",""coordinates"":[-117.9365310084228,34.30821398837978]}"
1_2020_09_01_+18365+7939,1513.0,1,2020-03-01,5833.0,42.0,-995.0720000000001,14611.0,"{""type"":""Point"",""coordinates"":[-117.92390227490326,34.29922078245719]}"
1_2020_09_01_+18367+7937,1738.0,1,2020-03-01,3691.0,45.0,-545.44,14340.0,"{""type"":""Point"",""coordinates"":[-117.92564358056389,34.30821398837978]}"
1_2020_09_01_+18367+7938,1684.0,1,2020-03-01,6036.0,28.0,-1022.948,14589.0,"{""type"":""Point"",""coordinates"":[-117.91932909551673,34.30371738541848]}"
1_2020_09_01_+18367+7939,1692.0,1,2020-03-01,6074.0,35.0,-1027.648,14589.0,"{""type"":""Point"",""coordinates"":[-117.91874903671818,34.30071965011094]}"
1_2020_09_01_+18367+7947,901.0,1,2020-03-01,6639.0,15.0,-1223.8120000000004,14831.0,"{""type"":""Point"",""coordinates"":[-117.89034879570359,34.28516889820312]}"
1_2020_09_01_+18368+7934,2039.0,1,2020-03-01,4340.0,28.0,-648.7520000000001,14526.0,"{""type"":""Point"",""coordinates"":[-117.93245264595943,34.327699267878735]}"
1_2020_09_01_+18368+7937,1846.0,1,2020-03-01,3638.0,39.0,-525.864,14337.0,"{""type"":""Point"",""coordinates"":[-117.92019986663445,34.30821398837978]}"
1_2020_09_01_+18369+7931,2080.0,1,2020-03-01,4126.0,14.0,-606.436,14478.0,"{""type"":""Point"",""coordinates"":[-117.95266902994453,34.33519360614757]}"
1_2020_09_01_+18369+7932,2097.0,1,2020-03-01,4716.0,28.0,-718.352,14501.0,"{""type"":""Point"",""coordinates"":[-117.94903872045447,34.335193606147556]}"
1_2020_09_01_+18369+7937,2072.0,1,2020-03-01,4634.0,34.0,-703.964,14337.0,"{""type"":""Point"",""coordinates"":[-117.91791362968719,34.310462289860425]}"
1_2020_09_01_+18370+7935,2199.0,1,2020-03-01,4576.0,28.0,-680.168,14499.0,"{""type"":""Point"",""coordinates"":[-117.92882635802148,34.31900583548689]}"
1_2020_09_01_+18370+7936,1953.0,1,2020-03-01,5592.0,42.0,-904.6160000000002,14393.0,"{""type"":""Point"",""coordinates"":[-117.91562745186785,34.31271059134107]}"
1_2020_09_01_+18370+7944,1357.0,1,2020-03-01,5886.0,30.0,-1022.672,14886.0,"{""type"":""Point"",""coordinates"":[-117.8651466006625,34.27673776765069]}"
1_2020_09_01_+18371+7935,1871.0,1,2020-03-01,7510.0,24.0,-1301.976,14373.0,"{""type"":""Point"",""coordinates"":[-117.9164995706755,34.31720719430237]}"
1_2020_09_01_+18372+7931,2356.0,1,2020-03-01,4472.0,13.0,-648.152,14501.0,"{""type"":""Point"",""coordinates"":[-117.94207047245622,34.336692473801335]}"
1_2020_09_01_+18372+7933,1913.0,1,2020-03-01,5033.0,34.0,-798.624,14467.0,"{""type"":""Point"",""coordinates"":[-117.9236911482019,34.326200400224984]}"
1_2020_09_01_+18372+7936,1582.0,1,2020-03-01,7658.0,28.0,-1360.564,14212.0,"{""type"":""Point"",""coordinates"":[-117.90865926348042,34.314209458994846]}"
1_2020_09_01_+18374+7926,1871.0,1,2020-03-01,6595.0,8.0,-1123.976,14348.0,"{""type"":""Point"",""coordinates"":[-117.95706708958882,34.357676620954074]}"
1_2020_09_01_+18374+7927,1945.0,1,2020-03-01,5741.0,29.0,-939.4760000000001,14348.0,"{""type"":""Point"",""coordinates"":[-117.95073920344399,34.35318001799276]}"
1_2020_09_01_+18374+7931,2365.0,1,2020-03-01,4027.0,16.0,-558.6400000000001,14340.0,"{""type"":""Point"",""coordinates"":[-117.92926038979898,34.3408143598492]}"
1_2020_09_01_+18374+7933,2101.0,1,2020-03-01,6549.0,35.0,-1083.7400000000002,14340.0,"{""type"":""Point"",""coordinates"":[-117.91970435391507,34.33369473849381]}"
1_2020_09_01_+18374+7936,1327.0,1,2020-03-01,6620.0,36.0,-1173.128,14579.0,"{""type"":""Point"",""coordinates"":[-117.89657343267004,34.31271059134107]}"
1_2020_09_01_+18374+7941,1430.0,1,2020-03-01,6154.0,33.0,-1069.304,14732.0,"{""type"":""Point"",""coordinates"":[-117.86229621513665,34.290227576534576]}"
1_2020_09_01_+18375+7925,1724.0,1,2020-03-01,5691.0,20.0,-953.7480000000002,14414.0,"{""type"":""Point"",""coordinates"":[-117.95794916445742,34.362173223915356]}"
1_2020_09_01_+18375+7926,1834.0,1,2020-03-01,6182.0,29.0,-1038.776,14348.0,"{""type"":""Point"",""coordinates"":[-117.95162016498288,34.357676620954074]}"
1_2020_09_01_+18375+7930,2283.0,1,2020-03-01,4027.0,33.0,-561.74,14340.0,"{""type"":""Point"",""coordinates"":[-117.92631821938066,34.33969020910887]}"
1_2020_09_01_+18375+7936,1221.0,1,2020-03-01,6311.0,42.0,-1121.064,14462.0,"{""type"":""Point"",""coordinates"":[-117.8947223822535,34.31720719430237]}"
1_2020_09_01_+18375+7939,1350.0,1,2020-03-01,7100.0,25.0,-1269.24,14690.0,"{""type"":""Point"",""coordinates"":[-117.86947096477907,34.29922078245719]}"
1_2020_09_01_+18375+7940,1625.0,1,2020-03-01,7584.0,31.0,-1336.9160000000002,14668.0,"{""type"":""Point"",""coordinates"":[-117.86359462211716,34.29697248097653]}"
1_2020_09_01_+18376+7928,2284.0,1,2020-03-01,4804.0,18.0,-723.1080000000001,14144.0,"{""type"":""Point"",""coordinates"":[-117.93352004206777,34.348683415031466]}"
1_2020_09_01_+18376+7935,1479.0,1,2020-03-01,7636.0,12.0,-1368.9679999999998,14499.0,"{""type"":""Point"",""coordinates"":[-117.90160171682679,34.32860929466852]}"
1_2020_09_01_+18376+7936,1255.0,1,2020-03-01,6741.0,33.0,-1205.748,14539.0,"{""type"":""Point"",""coordinates"":[-117.87805047908206,34.321703797263666]}"
1_2020_09_01_+18377+7910,1395.0,1,2020-03-01,3649.0,24.0,-574.6320000000001,14716.0,"{""type"":""Point"",""coordinates"":[-118.04259922777301,34.4318705698155]}"
1_2020_09_01_+18377+7920,1852.0,1,2020-03-01,4019.0,35.0,-600.064,14662.0,"{""type"":""Point"",""coordinates"":[-117.98972497727149,34.39157408943155]}"
1_2020_09_01_+18377+7937,1169.0,1,2020-03-01,6244.0,30.0,-1114.832,14666.0,"{""type"":""Point"",""coordinates"":[-117.87120644126938,34.30821398837976]}"
1_2020_09_01_+18378+7925,1919.0,1,2020-03-01,6117.0,21.0,-1019.3560000000001,14388.0,"{""type"":""Point"",""coordinates"":[-117.94433112227051,34.36217322391535]}"
1_2020_09_01_+18378+7929,2028.0,1,2020-03-01,6148.0,23.0,-1015.8960000000002,14158.0,"{""type"":""Point"",""coordinates"":[-117.91630345397849,34.344186812070156]}"
1_2020_09_01_+18378+7934,1655.0,1,2020-03-01,7227.0,36.0,-1262.048,14539.0,"{""type"":""Point"",""coordinates"":[-117.88742727088822,34.321703797263666]}"
1_2020_09_01_+18378+7938,1360.0,1,2020-03-01,5184.0,30.0,-883.516,14693.0,"{""type"":""Point"",""coordinates"":[-117.86260691278517,34.30596568689912]}"
1_2020_09_01_+18379+7910,1248.0,1,2020-03-01,3413.0,6.0,-547.4200000000001,14730.0,"{""type"":""Point"",""coordinates"":[-118.03124659292142,34.42962226833484]}"
1_2020_09_01_+18379+7914,1456.0,1,2020-03-01,3511.0,25.0,-541.744,14577.0,"{""type"":""Point"",""coordinates"":[-118.00585926650608,34.411635856489646]}"
1_2020_09_01_+18379+7917,1785.0,1,2020-03-01,3837.0,27.0,-573.94,14515.0,"{""type"":""Point"",""coordinates"":[-117.98333271469882,34.4079823665836]}"
1_2020_09_01_+18379+7924,1828.0,1,2020-03-01,4853.0,15.0,-777.4559999999999,14388.0,"{""type"":""Point"",""coordinates"":[-117.9424895329358,34.36666982687666]}"
1_2020_09_01_+18380+7914,1313.0,1,2020-03-01,3430.0,22.0,-539.576,14723.0,"{""type"":""Point"",""coordinates"":[-118.01627253366485,34.422877363892894]}"
1_2020_09_01_+18380+7924,1884.0,1,2020-03-01,4853.0,10.0,-773.548,14364.0,"{""type"":""Point"",""coordinates"":[-117.9370420237273,34.36666982687666]}"
1_2020_09_01_+18380+7929,2078.0,1,2020-03-01,5699.0,12.0,-923.54,14265.0,"{""type"":""Point"",""coordinates"":[-117.92199047026376,34.35065067882703]}"
1_2020_09_01_+18381+7936,1331.0,1,2020-03-01,6284.0,29.0,-1108.4520000000002,14476.0,"{""type"":""Point"",""coordinates"":[-117.8718257169384,34.3353060212216]}"
1_2020_09_01_+18382+7925,1965.0,1,2020-03-01,6193.0,29.0,-1027.508,14394.0,"{""type"":""Point"",""coordinates"":[-117.9198186463341,34.36217322391535]}"
1_2020_09_01_+18383+7914,1276.0,1,2020-03-01,2757.0,6.0,-412.65999999999997,14825.0,"{""type"":""Point"",""coordinates"":[-117.99904540770297,34.446081532004506]}"
1_2020_09_01_+18383+7920,1514.0,1,2020-03-01,3282.0,46.0,-482.27600000000007,14773.0,"{""type"":""Point"",""coordinates"":[-117.96196223407424,34.395965876473]}"
1_2020_09_01_+18383+7925,1939.0,1,2020-03-01,5203.0,30.0,-831.8080000000001,14394.0,"{""type"":""Point"",""coordinates"":[-117.91437142945931,34.36217322391535]}"
1_2020_09_01_+18383+7927,1860.0,1,2020-03-01,4176.0,38.0,-631.7,14420.0,"{""type"":""Point"",""coordinates"":[-117.92326196949611,34.38335348459289]}"
1_2020_09_01_+18383+7929,2026.0,1,2020-03-01,3655.0,40.0,-511.756,14238.0,"{""type"":""Point"",""coordinates"":[-117.89223426109896,34.34643511355082]}"
1_2020_09_01_+18383+7933,1545.0,1,2020-03-01,8019.0,37.0,-1431.1800000000003,14535.0,"{""type"":""Point"",""coordinates"":[-117.86379746225467,34.32620040022497]}"
1_2020_09_01_+18383+7935,1833.0,1,2020-03-01,4908.0,21.0,-784.8199999999999,14555.0,"{""type"":""Point"",""coordinates"":[-117.85116800540958,34.31720719430237]}"
1_2020_09_01_+18384+7905,1113.0,1,2020-03-01,2807.0,19.0,-434.3479999999999,14914.0,"{""type"":""Point"",""coordinates"":[-118.03619828607967,34.454353584621984]}"
1_2020_09_01_+18384+7934,1972.0,1,2020-03-01,3879.0,16.0,-566.716,14543.0,"{""type"":""Point"",""coordinates"":[-117.85443245211016,34.324701532571204]}"
1_2020_09_01_+18385+7905,1180.0,1,2020-03-01,3023.0,17.0,-471.448,14914.0,"{""type"":""Point"",""coordinates"":[-118.03029402626908,34.45210528314136]}"
1_2020_09_01_+18385+7915,1282.0,1,2020-03-01,2898.0,25.0,-436.24,14615.0,"{""type"":""Point"",""coordinates"":[-117.96559230464295,34.41013698883588]}"
1_2020_09_01_+18385+7927,2007.0,1,2020-03-01,6334.0,29.0,-1052.8280000000002,14229.0,"{""type"":""Point"",""coordinates"":[-117.89354956322306,34.35318001799276]}"
1_2020_09_01_+18385+7930,1356.0,1,2020-03-01,6512.0,16.0,-1155.4520000000002,14476.0,"{""type"":""Point"",""coordinates"":[-117.87186065758566,34.33969020910887]}"
1_2020_09_01_+18385+7934,1743.0,1,2020-03-01,6687.0,17.0,-1151.468,14474.0,"{""type"":""Point"",""coordinates"":[-117.84659285495815,34.321703797263666]}"
1_2020_09_01_+18386+7902,1317.0,1,2020-03-01,2726.0,27.0,-394.91599999999994,14968.0,"{""type"":""Point"",""coordinates"":[-118.04391125367606,34.46559509202523]}"
1_2020_09_01_+18386+7904,1129.0,1,2020-03-01,2726.0,22.0,-415.82400000000007,14892.0,"{""type"":""Point"",""coordinates"":[-118.03119630649994,34.45660188610264]}"
1_2020_09_01_+18386+7933,2016.0,1,2020-03-01,5917.0,35.0,-965.1840000000001,14422.0,"{""type"":""Point"",""coordinates"":[-117.84746282063269,34.32620040022497]}"
1_2020_09_01_+18387+7901,1281.0,1,2020-03-01,2742.0,10.0,-408.7679999999999,14724.0,"{""type"":""Point"",""coordinates"":[-118.04481659449513,34.47009169498655]}"
1_2020_09_01_+18388+7903,1160.0,1,2020-03-01,3000.0,7.0,-471.20799999999997,14994.0,"{""type"":""Point"",""coordinates"":[-118.03357204352642,34.46503301665507]}"
1_2020_09_01_+18388+7929,1508.0,1,2020-03-01,7039.0,15.0,-1246.0000000000002,14470.0,"{""type"":""Point"",""coordinates"":[-117.86500329001016,34.34643511355082]}"
1_2020_09_01_+18389+7925,1522.0,1,2020-03-01,4847.0,21.0,-804.592,14446.0,"{""type"":""Point"",""coordinates"":[-117.89213814273663,34.409435905578476]}"
1_2020_09_01_+18389+7926,2023.0,1,2020-03-01,4171.0,37.0,-615.54,14315.0,"{""type"":""Point"",""coordinates"":[-117.87536322049992,34.357676620954074]}"
1_2020_09_01_+18390+7912,1278.0,1,2020-03-01,3102.0,22.0,-477.4840000000001,14722.0,"{""type"":""Point"",""coordinates"":[-117.97765009373192,34.4260249859658]}"
1_2020_09_01_+18391+7910,1451.0,1,2020-03-01,3250.0,40.0,-483.96799999999996,14774.0,"{""type"":""Point"",""coordinates"":[-117.96855309280603,34.429622268334846]}"
1_2020_09_01_+18391+7928,1923.0,1,2020-03-01,4810.0,30.0,-754.6800000000001,14410.0,"{""type"":""Point"",""coordinates"":[-117.85383461488989,34.35527843270803]}"
1_2020_09_01_+18392+7911,1848.0,1,2020-03-01,3274.0,27.0,-453.5280000000001,14704.0,"{""type"":""Point"",""coordinates"":[-117.95403054585135,34.42512566537355]}"
1_2020_09_01_+18392+7925,2037.0,1,2020-03-01,4350.0,31.0,-651.6199999999999,14330.0,"{""type"":""Point"",""coordinates"":[-117.86534647758646,34.362173223915356]}"
1_2020_09_01_+18393+7916,1946.0,1,2020-03-01,3670.0,28.0,-525.62,14330.0,"{""type"":""Point"",""coordinates"":[-117.9168761550631,34.40264265056707]}"
1_2020_09_01_+18393+7925,2208.0,1,2020-03-01,5688.0,32.0,-901.8200000000002,14330.0,"{""type"":""Point"",""coordinates"":[-117.85989926071167,34.362173223915356]}"
1_2020_09_01_+18394+7902,1428.0,1,2020-03-01,2646.0,7.0,-374.992,14821.0,"{""type"":""Point"",""coordinates"":[-118.00027959763905,34.46559509202523]}"
1_2020_09_01_+18394+7903,1440.0,1,2020-03-01,2946.0,18.0,-430.4920000000001,14821.0,"{""type"":""Point"",""coordinates"":[-117.99392376825561,34.461098489063936]}"
1_2020_09_01_+18394+7912,1896.0,1,2020-03-01,4259.0,25.0,-647.144,14602.0,"{""type"":""Point"",""coordinates"":[-117.93678477639128,34.42062906241225]}"
1_2020_09_01_+18394+7924,2150.0,1,2020-03-01,5767.0,29.0,-924.2080000000001,14344.0,"{""type"":""Point"",""coordinates"":[-117.87085190949816,34.36866831708168]}"
1_2020_09_01_+18395+7928,2118.0,1,2020-03-01,6452.0,33.0,-1063.3760000000002,14323.0,"{""type"":""Point"",""coordinates"":[-117.83560811913364,34.35440636425494]}"
1_2020_09_01_+18396+7901,1397.0,1,2020-03-01,2835.0,12.0,-414.712,14781.0,"{""type"":""Point"",""coordinates"":[-117.9957283369761,34.47009169498655]}"
1_2020_09_01_+18396+7907,1240.0,1,2020-03-01,3144.0,4.0,-494.4520000000001,14801.0,"{""type"":""Point"",""coordinates"":[-117.94378361024228,34.456489471028604]}"
1_2020_09_01_+18396+7924,1956.0,1,2020-03-01,5725.0,22.0,-937.4039999999999,14332.0,"{""type"":""Point"",""coordinates"":[-117.84988187639097,34.36666982687666]}"
1_2020_09_01_+18396+7928,2160.0,1,2020-03-01,5465.0,28.0,-864.068,14224.0,"{""type"":""Point"",""coordinates"":[-117.82459323680865,34.348683415031466]}"
1_2020_09_01_+18397+7927,1900.0,1,2020-03-01,5810.0,27.0,-959.2560000000001,14238.0,"{""type"":""Point"",""coordinates"":[-117.82481682077639,34.35917548860783]}"
1_2020_09_01_+18398+7900,1266.0,1,2020-03-01,2736.0,9.0,-409.456,14713.0,"{""type"":""Point"",""coordinates"":[-117.99117731265986,34.47458829794783]}"
1_2020_09_01_+18398+7924,1775.0,1,2020-03-01,7766.0,32.0,-1361.4560000000001,14238.0,"{""type"":""Point"",""coordinates"":[-117.83898685797386,34.36666982687666]}"
1_2020_09_01_+18399+7924,1683.0,1,2020-03-01,7258.0,23.0,-1271.4040000000002,14282.0,"{""type"":""Point"",""coordinates"":[-117.83880991278362,34.37041699601107]}"
1_2020_09_01_+18400+7920,1921.0,1,2020-03-01,6095.0,28.0,-1013.536,14278.0,"{""type"":""Point"",""coordinates"":[-117.85339827566101,34.38465623872185]}"
1_2020_09_01_+18401+7903,1225.0,1,2020-03-01,2670.0,5.0,-400.812,14806.0,"{""type"":""Point"",""coordinates"":[-117.95574812558222,34.461098489063936]}"
1_2020_09_01_+18401+7916,1334.0,1,2020-03-01,2926.0,4.0,-441.7080000000001,14769.0,"{""type"":""Point"",""coordinates"":[-117.89364305118532,34.42706864196176]}"
1_2020_09_01_+18401+7922,1699.0,1,2020-03-01,5834.0,32.0,-981.416,14393.0,"{""type"":""Point"",""coordinates"":[-117.8352941532837,34.375663032799245]}"
1_2020_09_01_+18401+7924,1836.0,1,2020-03-01,4561.0,15.0,-718.216,14393.0,"{""type"":""Point"",""coordinates"":[-117.82475224397909,34.36816869453042]}"
